Blockchain,Days,Sales,Marketplaces,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor,Sales/Day,Buyers/Day,NFTs/Day,Collections/Day,Volume/Day,Sales/Buyer,NFTs/Buyer,Collections/Buyer,Volume/Buyer,NFTs/Sale,NFTs/Collection,Volume/Collection
Algorand,14,11673,6,1882,10855,513,289479.5681,24.39366042,5.634220151,5474.933333,2.19E-07,833.785714,134.428571,775.357143,36.642857,20677.11201,6.202444,5.7678,0.272582,153.8148609,0.929924,21.159844,564.2876572
Arbitrum,14,22047,21,17543,20106,209,2823396.812,106.5553388,10.41967506,185892.9728,1.25392E-06,1574.785714,1253.071429,1436.142857,14.928571,201671.2009,1.256741,1.146098,0.011914,160.9415044,0.911961,96.200957,13509.07566
Avalanche,14,6771,51,2838,5215,376,1696373.018,168.8101321,34.74270833,23236.0275,0.000129429,483.642857,202.714286,372.5,26.857143,121169.5013,2.385835,1.837562,0.132488,597.7353833,0.770196,13.869681,4511.630366
BSC,14,2563,56,1081,5717,158,3781466.861,542.7683165,289.7854167,6795.291667,271.8116667,183.071429,77.214286,408.357143,11.285714,270104.7758,2.370953,5.288622,0.146161,3498.119205,2.230589,36.183544,23933.33456
Ethereum,13,442189,8,113149,56734,2138,376404696.3,556.0524555,38.1,1075165.2,1.25E-14,34014.53846,8703.769231,4364.153846,164.461538,28954207.41,3.908024,0.50141,0.018895,3326.628572,0.128303,26.536015,176054.582
Flow,14,194750,18,12756,156401,95,2805209.981,14.40415908,4,49999,8.776E-06,13910.71429,911.142857,11171.5,6.785714,200372.1415,15.267325,12.260975,0.007447,219.9129806,0.803086,1646.326316,29528.52611
Gnosis,14,342,5,109,331,8,4563.253661,13.1885944,1.499846077,339.6646499,0.009999182,24.428571,7.785714,23.642857,0.571429,325.9466901,3.137615,3.036697,0.073394,41.86471249,0.967836,41.375,570.4067077
NEAR,13,2976,10,836,2186,83,32590.55101,10.95112601,1.037566108,1280.497309,1.74294E-05,228.923077,64.307692,168.153846,6.384615,2506.965462,3.559809,2.614833,0.099282,38.98391269,0.734543,26.337349,392.6572411
Optimism,13,40617,1,29733,28507,336,553143.0525,11.88226183,12.58,2147.73,0.01,3124.384615,2287.153846,2192.846154,25.846154,42549.46558,1.366058,0.958766,0.011301,18.60367445,0.701849,84.842262,1646.259085
Polygon,14,50438,98,19755,117147,883,3892758.26,23.22745138,5.55597425,8561.859085,0.889321542,3602.714286,1411.071429,8367.642857,63.071429,278054.1614,2.553176,5.929992,0.044698,197.0517975,2.322594,132.669309,4408.55975
Solana,14,401582,10,34920,256989,2942,29642005.62,73.77432066,10.61262216,55635.64916,1.32E-07,28684.42857,2494.285714,18356.35714,210.142857,2117286.116,11.500057,7.359364,0.08425,848.8546855,0.639942,87.351801,10075.46078
