Blockchain,Type,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
Algorand,Native Coin,8,35386,3125,3370206.409,95.24123689,3.635064006,4423,391,421276,11,1078
Algorand,Other Tokens,8,50491,1902,2152994.701,41.9777087,2.364617233,6311,238,269124,27,1132
Algorand,Stablecoins,8,34900,993,4260891.625,119.5167492,8.388788912,4363,124,532611,35,4291
Arbitrum,Native Coin,8,321864,83340,265961747.2,826.3171627,2.04711638,40233,10418,33245218,4,3191
Arbitrum,Stablecoins,8,165083,46392,215570398.2,1305.83039,55.34772692,20635,5799,26946300,4,4647
Arbitrum,Other Tokens,8,95745,41322,43016149.59,449.278287,0.119231907,11968,5165,5377019,2,1041
Avalanche,Other Tokens,8,8329,2576,5320857.502,638.8350945,136.4030754,1041,322,665107,3,2066
Avalanche,Stablecoins,8,58266,16492,63256754.05,1085.654654,99.97602477,7283,2062,7907094,4,3836
Avalanche,Native Coin,8,98711,26016,30192573.99,305.8683834,29.39211966,12339,3252,3774072,4,1161
BSC,Other Tokens,8,92299,32343,83404818.3,903.6372907,55.44910131,11537,4043,10425602,3,2579
BSC,Native Coin,8,2043822,394187,587949617.2,287.6716354,37.6126374,255478,49273,73493702,5,1492
BSC,Stablecoins,8,1956345,480968,1262661793,645.418775,50.13026236,244543,60121,157832724,4,2625
Ethereum,Native Coin,8,217082,1550,2414812119,10563.99092,591.26,27135,194,301851515,140,1557943
Ethereum,Stablecoins,8,123133,1880,4810966244,35300.77591,1144.340485,15392,235,601370781,65,2559025
Ethereum,Other Tokens,8,200483,2005,1810442049,8273.885808,458.7790852,25060,251,226305256,100,902964
Flow,Other Tokens,8,387,52,38204.70665,98.72017221,59.69256495,48,7,4776,7,735
Flow,Native Coin,8,1142,436,293435.1428,247.6245931,42.94879485,143,55,36679,3,673
Flow,Stablecoins,8,2011,603,678638.4499,243.6762836,52.29227937,251,75,84830,3,1125
Gnosis,Stablecoins,8,2366,300,101440.5892,42.87429805,0.995464374,296,38,12680,8,338
Gnosis,Other Tokens,8,17877,1386,1107864.348,61.97149117,1.9477998,2235,173,138483,13,799
NEAR,Stablecoins,8,6513,626,5466303.125,696.5218049,51.72222217,814,78,683288,10,8732
NEAR,Native Coin,8,5806,860,2744109.035,467.0028991,67.62608301,726,108,343014,7,3191
NEAR,Other Tokens,8,4484,274,13654951.86,2944.146584,0.986260946,561,34,1706869,16,49836
Optimism,Other Tokens,8,45486,16399,41187383.43,905.4958323,3.05680225,5686,2050,5148423,3,2512
Optimism,Native Coin,8,89340,44461,47015237.03,526.2506943,35.71216678,11168,5558,5876905,2,1057
Optimism,Stablecoins,8,268200,73406,341635851.7,1273.810036,25.87567867,33525,9176,42704481,4,4654
Osmosis,Other Tokens,8,48286,12183,13472451.55,279.0136179,14.44895626,6036,1523,1684056,4,1106
Osmosis,Native Coin,8,30507,5116,4670395.721,152.9572189,9.447481756,3813,640,583799,6,913
Osmosis,Stablecoins,8,19347,3421,10844208.6,560.511118,92.190877,2418,428,1355526,6,3170
Polygon,Stablecoins,8,433076,85968,302677755.4,698.9021683,22.47045915,54135,10746,37834719,5,3521
Polygon,Other Tokens,8,290446,73827,143027923.8,492.4423949,0.988406175,36306,9228,17878490,4,1937
Solana,Stablecoins,8,779501,14350,58329815.32,74.82613461,1.001211903,97438,1794,7291227,54,4065
Solana,Native Coin,8,175565,14035,22783482.02,129.7723466,14.56660779,21946,1754,2847935,13,1623
Solana,Other Tokens,8,125649,8183,15778460.34,125.4878066,13.15563115,15706,1023,1972308,15,1928
THORChain,Other Tokens,8,73623,2074,54437191.97,739.4046965,412.9208384,9203,259,6804649,35,26247
THORChain,Native Coin,8,97675,2417,71405454.18,719.2185309,403.2999144,12209,302,8925682,40,29543
THORChain,Stablecoins,8,31262,371,18995735.44,607.6302042,425.7442371,3908,46,2374467,84,51201
